Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
6689,Santosh Biswas,BAHARAMPUR,BSP,0,Graduate,"Rs 2,49,840  ~ 2 Lacs+",Rs 0  ~
6690,Santosh Darchand Banjare,MAHASAMUND,IND,0,12th Pass,,
6691,Santosh Ganpat Ambulge,MUMBAI NORTH - CENTRAL,Vanchit Bahujan Aaghadi,0,8th Pass,"Rs 2,16,92,800  ~ 2 Crore+","Rs 3,87,200  ~ 3 Lacs+"
6692,Santosh Ganpati Bisure,KOLHAPUR,Apni Prajahit Party,0,5th Pass,"Rs 53,76,417  ~ 53 Lacs+","Rs 2,00,000  ~ 2 Lacs+"
6693,Santosh Jura,SUNDARGARH (ST),Naba Bharata Nirmana Seva Party,1,8th Pass,,
6694,Santosh Kaur,GURDASPUR,IND,0,12th Pass,"Rs 84,18,115  ~ 84 Lacs+","Rs 1,00,000  ~ 1 Lacs+"
6695,Santosh Kerba Khot,HATKANANGALE,Kamgaar Kisan Party,0,Others,"Rs 36,52,500  ~ 36 Lacs+",Rs 0  ~
6696,Santosh Kumar,LUDHIANA,Bharatiya Inqalab Party,1,8th Pass,,
6697,Santosh Kumar,SASARAM (SC),BSP,0,12th Pass,"Rs 4,53,50,000  ~ 4 Crore+","Rs 5,00,000  ~ 5 Lacs+"
6698,Santosh Kumar,HAMIRPUR,IND,0,Post Graduate,"Rs 5,42,146  ~ 5 Lacs+",Rs 0  ~
6699,Santosh Kumar,CHANDAULI,IND,0,Graduate,,
6700,Santosh Kumar,PURNIA,JD(U),0,12th Pass,"Rs 8,80,37,133  ~ 8 Crore+","Rs 1,63,10,012  ~ 1 Crore+"
6701,Santosh Kumar Bidika,KORAPUT (ST),Republican Party of India (A),0,10th Pass,"Rs 2,50,000  ~ 2 Lacs+",Rs 0  ~
6702,Santosh Kumar Das,JAMUI (SC),SUCI(C),0,Literate,,
6703,Santosh Kumar Gupta,GHOSI,Janlok Vikas Party,0,Post Graduate,"Rs 1,77,04,591  ~ 1 Crore+",Rs 0  ~
6704,Santosh Kumar Jaiswal,RANCHI,IND,0,Graduate,"Rs 5,60,000  ~ 5 Lacs+",Rs 256  ~ 2 Hund+
6705,Santosh Kumar Kharwar,SASARAM (SC),Bhartiya Gandhiwadi Party,1,Graduate,,
6706,Santosh Kumar Kushwaha,JABALPUR,IND,1,12th Pass,"Rs 20,000  ~ 20 Thou+",Rs 0  ~
6707,Santosh Kumar Markande,DURG,IND,0,10th Pass,"Rs 20,67,500  ~ 20 Lacs+",Rs 0  ~
6708,Santosh Kumar Mishra,BHUBANESWAR,IND,0,10th Pass,,
6709,Santosh Kumar Patra,KENDRAPARA,IND,0,12th Pass,"Rs 4,92,317  ~ 4 Lacs+",Rs 0  ~
6710,Santosh Kumar Sahu,BERHAMPUR,All India Forward Bloc,0,Graduate Professional,"Rs 15,06,000  ~ 15 Lacs+",Rs 0  ~
6711,Santosh Kumari,GURDASPUR,Megh Desham Party,0,12th Pass,,
6712,Santosh Manik Rayban,MUMBAI NORTH - WEST,IND,0,12th Pass,"Rs 88,00,000  ~ 88 Lacs+","Rs 3,85,000  ~ 3 Lacs+"
6713,Santosh Pandey,RAJNANDGAON,BJP,1,Graduate Professional,"Rs 4,29,16,375  ~ 4 Crore+","Rs 32,29,688  ~ 32 Lacs+"
6714,Santosh Sharma,KORBA,IND,0,Post Graduate,,
6715,Santosh Tulshiram Chavhan,NAGPUR,IND,0,Post Graduate,"Rs 86,26,621  ~ 86 Lacs+",Rs 0  ~
6716,Santosh Ubale,MAVAL,Bhim Sena,0,8th Pass,Rs 83  ~,Rs 0  ~
6717,Santram,AMETHI,Samajhdar Party,0,Graduate,,
6718,Santrupt Misra,CUTTACK,BJD,0,Doctorate,"Rs 4,82,21,02,948  ~ 482 Crore+","Rs 6,53,72,750  ~ 6 Crore+"
6719,Sanuar Ali,JANGIPUR,Bharatheeya Jawan Kisan Party,0,8th Pass,"Rs 1,60,39,400  ~ 1 Crore+",Rs 0  ~
6720,Sanvidhan G Lokhande,RAMTEK (SC),Baliraja Party,0,Graduate,,
6721,Sanyukta Kumari,NALANDA,IND,2,10th Pass,"Rs 3,73,60,000  ~ 3 Crore+",Rs 0  ~
6722,Sapavat Suman,SECUNDERABAD,IND,0,Post Graduate,"Rs 20,000  ~ 20 Thou+",Rs 0  ~
6723,Saptagiri Sankar Ulaka,KORAPUT (ST),INC,0,Graduate Professional,,
6724,Sara Yadagiri Goud,MEDAK,Praja Velugu Party,0,5th Pass,"Rs 2,25,000  ~ 2 Lacs+",Rs 0  ~
6725,Sarabjeet Singh Khalsa,FARIDKOT (SC),IND,0,10th Pass,"Rs 1,08,08,400  ~ 1 Crore+","Rs 5,75,000  ~ 5 Lacs+"
6726,Sarabjit Singh,KHADOOR SAHIB,IND,0,Graduate,,
6727,Sarabjit Singh Khalsa,JALANDHAR (SC),Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1,12th Pass,"Rs 40,000  ~ 40 Thou+","Rs 53,000  ~ 53 Thou+"
6728,Sarade Ganesh Navnath,MADHA,IND,0,12th Pass,"Rs 85,000  ~ 85 Thou+","Rs 2,50,000  ~ 2 Lacs+"
6729,Saraf Tulasi Gupta,HYDERABAD,Praja Ektha Party,0,Graduate,,
6730,Sarah Fathima,CHENNAI NORTH,IND,0,Post Graduate,"Rs 1,90,000  ~ 1 Lacs+","Rs 7,40,000  ~ 7 Lacs+"
6731,Sararapu Srisailam,SECUNDERABAD,Telangana Rajya Samithi,1,12th Pass,"Rs 11,05,114  ~ 11 Lacs+",Rs 0  ~
6732,Saravan Singh,BASIRHAT,IND,1,Graduate Professional,,
6733,Saravanakumar A,KRISHNAGIRI,IND,0,8th Pass,"Rs 10,80,000  ~ 10 Lacs+",Rs 0  ~
6734,Saravanan K.K.,MADURAI,IND,0,Others,"Rs 93,500  ~ 93 Thou+","Rs 48,000  ~ 48 Thou+"
6735,Saravanan M,THANJAVUR,IND,0,Graduate Professional,,
6736,Saravanan N,KANNIYAKUMARI,Samaniya Makkal Nala Katchi,0,Others,"Rs 28,200  ~ 28 Thou+",Rs 0  ~
6737,Saravanan P,MADURAI,AIADMK,1,Graduate Professional,"Rs 18,34,01,717  ~ 18 Crore+","Rs 1,52,96,130  ~ 1 Crore+"
6738,Sarbananda Sonowal,DIBRUGARH,BJP,0,Graduate Professional,,
6739,Sarbeswar Behera,BHADRAK (SC),IND,0,10th Pass,"Rs 23,87,000  ~ 23 Lacs+",Rs 0  ~
6740,Sardar Khan Pappu,TEHRI GARHWAL,IND,0,8th Pass,"Rs 33,40,000  ~ 33 Lacs+",Rs 0  ~
6741,Sarfaraj Alam,MADHUBANI,Akhil Bhartiya Parivar Party,0,Graduate Professional,,
6742,Sarfaraz Ahmad,JAUNPUR,IND,0,Post Graduate,"Rs 12,75,000  ~ 12 Lacs+",Rs 0  ~
6743,Sarika Dabral,MUMBAI NORTH - WEST,India Greens Party,0,Post Graduate,"Rs 37,87,363  ~ 37 Lacs+","Rs 71,977  ~ 71 Thou+"
6744,Sarika Singh Baghel,ETAWAH (SC),BSP,0,Post Graduate,,
6745,Sarjerao Nivrutti Khandare,HINGOLI,IND,0,12th Pass,"Rs 20,000  ~ 20 Thou+",Rs 0  ~
6746,Sarjerao Sahare,HOSHANGABAD,IND,0,Post Graduate,"Rs 1,37,21,946  ~ 1 Crore+",Rs 0  ~
6747,Sarju Prasad,TIKAMGARH (SC),IND,0,10th Pass,,
6748,Sarkar Mangal,SREERAMPUR,Bahujan Maha Party,0,8th Pass,"Rs 54,000  ~ 54 Thou+",Rs 0  ~
6749,Sarmistha Sethi,JAJPUR (SC),BJD,0,Post Graduate,"Rs 4,67,18,443  ~ 4 Crore+","Rs 39,02,539  ~ 39 Lacs+"
6750,Saroj Chaudhary,DARBHANGA,Mithilanchal Mukti Morcha,0,10th Pass,,
6751,Saroj Kumar Chaudhary,MUZAFFARPUR,IND,0,12th Pass,"Rs 95,392  ~ 95 Thou+",Rs 0  ~
6752,Saroj Kumar Ray,NORTH EAST DELHI,IND,0,Post Graduate,"Rs 14,07,028  ~ 14 Lacs+","Rs 9,17,000  ~ 9 Lacs+"
6753,Saroj Kumar Suman,PATNA SAHIB,SUCI(C),0,Post Graduate,,
6754,Saroj Pandey,KORBA,BJP,0,Doctorate,"Rs 2,87,17,677  ~ 2 Crore+","Rs 17,73,376  ~ 17 Lacs+"
6755,Sarvajeet Singh,ALLAHABAD,Kamera Samaj Party,0,Post Graduate,"Rs 42,35,412  ~ 42 Lacs+",Rs 0  ~
6756,Sarvar Ali,LUCKNOW,Sarvar Party,0,Post Graduate,,
6757,Sarvesh Kumar,AGRA (SC),Bharatiya Majdoor Janta Party,0,Graduate Professional,"Rs 11,30,000  ~ 11 Lacs+",Rs 0  ~
6758,Sarweshwari Sahu,RANCHI,Ekam Sanatan Bharat Dal,0,Post Graduate,"Rs 1,11,30,790  ~ 1 Crore+","Rs 2,50,00,000  ~ 2 Crore+"
6759,Sasanka Chakraborty,SREERAMPUR,IND,0,Graduate,,
6760,Sashmita Behera,DHENKANAL,INC,0,Post Graduate,"Rs 5,87,01,873  ~ 5 Crore+","Rs 4,50,59,071  ~ 4 Crore+"
6761,Sasi Kongapally,THIRUVANANTHAPURAM,IND,0,5th Pass,"Rs 8,92,000  ~ 8 Lacs+",Rs 0  ~
6762,Sasikani K,RAMANATHAPURAM,IND,0,10th Pass,,
6763,Sasikanth Senthil,TIRUVALLUR (SC),INC,0,Graduate Professional,"Rs 2,21,07,297  ~ 2 Crore+",Rs 0  ~
6764,Satabdi Roy,BIRBHUM,AITC,0,Graduate,"Rs 10,92,45,500  ~ 10 Crore+","Rs 2,01,71,392  ~ 2 Crore+"
6765,Satay Deo Yadav,FARIDABAD,Buland Bharat Party,0,10th Pass,,
6766,Satbir Kashyap,KURUKSHETRA,Rashtriya Janshakti Party(Eklavya),0,12th Pass,"Rs 2,28,100  ~ 2 Lacs+","Rs 1,83,191  ~ 1 Lacs+"
6767,Satbir Singh Jammu,AMRITSAR,IND,0,Illiterate,"Rs 5,94,65,834  ~ 5 Crore+","Rs 15,00,000  ~ 15 Lacs+"
6768,Satender Kumar Mall,DEORIA,IND,0,Post Graduate,,
6769,Satendra Kumar Maurya,KHERI,IND,0,Graduate,"Rs 1,41,48,641  ~ 1 Crore+",Rs 0  ~
6770,Sathasivam. R,KARUR,IND,0,Post Graduate,"Rs 40,24,000  ~ 40 Lacs+","Rs 5,00,000  ~ 5 Lacs+"
6771,Satheesh G,NAMAKKAL,IND,1,Graduate,,
6772,Satheesh Kumar A,THENI,IND,0,Post Graduate,"Rs 14,07,379  ~ 14 Lacs+","Rs 1,00,000  ~ 1 Lacs+"
6773,Satheesh Kumar P,CHENNAI SOUTH,IND,0,Doctorate,"Rs 7,19,55,658  ~ 7 Crore+","Rs 4,63,25,107  ~ 4 Crore+"
6774,Satheesh Shenoi,ALAPPUZHA,IND,0,Others,,
6775,Sathis Kumar. C,KARUR,IND,0,Graduate Professional,"Rs 20,50,919  ~ 20 Lacs+","Rs 15,00,000  ~ 15 Lacs+"
6776,Sathish Babu P,KANNIYAKUMARI,IND,1,Others,"Rs 5,48,242  ~ 5 Lacs+",Rs 0  ~
6777,Sathish J,CHENNAI SOUTH,IND,0,Post Graduate,,
6778,Sathish Kanna G T,DINDIGUL,IND,0,12th Pass,"Rs 1,85,000  ~ 1 Lacs+",Rs 0  ~
6779,Sathish Kumar. S,KARUR,IND,0,Graduate Professional,"Rs 5,30,500  ~ 5 Lacs+",Rs 0  ~
6780,Sathish M,NILGIRIS (SC),IND,0,Graduate Professional,,
6781,Sathish. B,CHENNAI NORTH,IND,0,Post Graduate,"Rs 8,53,000  ~ 8 Lacs+","Rs 11,64,000  ~ 11 Lacs+"
6782,Sathish. P,KARUR,IND,0,Graduate Professional,"Rs 44,23,000  ~ 44 Lacs+",Rs 0  ~
6783,Sathiyaraj. N,VILUPPURAM (SC),IND,0,Not Given,,
6784,Sathya,TIRUNELVELI,Naam Tamilar Katchi,2,Graduate,"Rs 97,29,065  ~ 97 Lacs+",Rs 0  ~
6785,Sathyadevi T,MADURAI,Naam Tamilar Katchi,0,Doctorate,"Rs 95,06,657  ~ 95 Lacs+","Rs 31,76,000  ~ 31 Lacs+"
6786,Sathyan K.P,WAYANAD,IND,0,10th Pass,,
6787,Satish Bhiva Pawar,SHIRDI (SC),IND,0,10th Pass,"Rs 11,04,000  ~ 11 Lacs+",Rs 0  ~
6788,Satish Chand Prajapati Fauji,GHOSI,Samajhdar Party,1,12th Pass,"Rs 91,45,000  ~ 91 Lacs+","Rs 2,50,000  ~ 2 Lacs+"
6789,Satish Chandra. M.,BANGALORE CENTRAL,BSP,0,Post Graduate,,
6790,Satish Dhull,KURUKSHETRA,Bharatiya Asha Party,0,Graduate,"Rs 73,15,000  ~ 73 Lacs+","Rs 1,40,000  ~ 1 Lacs+"
6791,Satish Kumar,ROHTAK,IND,0,10th Pass,"Rs 50,000  ~ 50 Thou+",Rs 0  ~
6792,Satish Kumar,ALIGARH,IND,0,12th Pass,,
6793,Satish Kumar,ALIGARH,Swatantra Jantaraj Party,0,8th Pass,"Rs 37,70,642  ~ 37 Lacs+","Rs 4,67,627  ~ 4 Lacs+"
6794,Satish Kumar Gautam,ALIGARH,BJP,0,Graduate,"Rs 16,06,24,125  ~ 16 Crore+","Rs 4,65,70,044  ~ 4 Crore+"
6795,Satish Kumar S/O Hari Ram,ROHTAK,Ekam Sanatan Bharat Dal,0,10th Pass,,
6796,Satish Lalita Krishna Kadam,SANGLI,Hindustan Janta Party,0,12th Pass,"Rs 8,00,000  ~ 8 Lacs+",Rs 0  ~
6797,Satish Padmakar Kapse,BEED,IND,0,Graduate,"Rs 8,05,948  ~ 8 Lacs+","Rs 8,38,000  ~ 8 Lacs+"
6798,Satish Poonchi,JAMMU,IND,0,10th Pass,,
6799,Satish Yashwantrao Gedam,AMRAVATI (SC),IND,0,12th Pass,"Rs 1,15,000  ~ 1 Lacs+","Rs 30,000  ~ 30 Thou+"
6800,Satnam Bhazigar,KURUKSHETRA,Loktantrik Lok Rajyam Party,0,5th Pass,"Rs 5,23,800  ~ 5 Lacs+",Rs 0  ~
6801,Satnam Singh,KHADOOR SAHIB,BSP,0,Graduate Professional,,
6802,Satpal,SONIPAT,IND,0,5th Pass,"Rs 1,10,998  ~ 1 Lacs+",Rs 0  ~
6803,Satpal,HOSHIARPUR (SC),IND,0,Illiterate,"Rs 21,65,000  ~ 21 Lacs+","Rs 3,50,000  ~ 3 Lacs+"
6804,Satpal,ANANDPUR SAHIB,IND,0,10th Pass,,
6805,Satpal Brahamchari,SONIPAT,INC,0,Graduate,"Rs 1,60,73,608  ~ 1 Crore+",Rs 0  ~
6806,Satpal Ladwal,SIRSA (SC),IND,0,Graduate,"Rs 31,62,000  ~ 31 Lacs+",Rs 0  ~
6807,Satpal Raizada,HAMIRPUR,INC,1,10th Pass,,
6808,Satrughna Jamatia,TRIPURA EAST (ST),IND,0,8th Pass,"Rs 45,000  ~ 45 Thou+",Rs 0  ~
6809,Sattar Pathan,HINGOLI,IND,0,12th Pass,"Rs 2,50,000  ~ 2 Lacs+",Rs 0  ~
6810,Satteppa Dasharath Kaleli,CHIKKODI,Bharatheeya Jawan Kisan Party,0,10th Pass,,
6811,Satti Shababu Reddy,HYDERABAD,IND,0,Others,"Rs 55,81,603  ~ 55 Lacs+","Rs 18,10,288  ~ 18 Lacs+"
6812,Satya Dev Chaudhary,CHANDNI CHOWK,Satya Bahumat Party,0,Graduate,"Rs 9,02,90,184  ~ 9 Crore+",Rs 0  ~
6813,Satya Prakash Uttrakhandi,NORTH WEST DELHI (SC),IND,0,8th Pass,,
6814,Satyadev,MIRZAPUR,Purvanchal Mahapanchayat,0,10th Pass,"Rs 2,99,000  ~ 2 Lacs+",Rs 0  ~
6815,Satyajeet Babasaheb Patil (Aaba) Sarudkar,HATKANANGALE,ShivSena (Uddhav Balasaheb Thackeray),2,Graduate,"Rs 3,57,83,090  ~ 3 Crore+","Rs 5,93,047  ~ 5 Lacs+"
6816,Satyajeet Patil (Aaba),HATKANANGALE,IND,0,Graduate Professional,,
6817,Satyanarayan,JHUNJHUNU,Bheem Tribal Congress,0,10th Pass,"Rs 28,59,500  ~ 28 Lacs+","Rs 5,00,000  ~ 5 Lacs+"
6818,Satyanarayan,JODHPUR,Bharatiya Sampuran Krantikari Party,0,Literate,"Rs 9,81,000  ~ 9 Lacs+",Rs 0  ~
6819,Satyanarayan Devra,BIKANER (SC),IND,0,12th Pass,,
6820,Satyanarayan Mali,AJMER,IND,0,Graduate,"Rs 40,000  ~ 40 Thou+","Rs 2,32,403  ~ 2 Lacs+"
6821,Satyanarayana Goud Kovuri,ZAHIRABAD,IND,0,Post Graduate,"Rs 28,03,570  ~ 28 Lacs+","Rs 1,10,000  ~ 1 Lacs+"
6822,Satyanarayana Goud Kovuri,MEDAK,IND,0,Post Graduate,,
6823,Satyawan Vijay Ombase,MADHA,Swarajya Sena (Maharashtra),0,Graduate Professional,"Rs 75,000  ~ 75 Thou+",Rs 0  ~
6824,Satydev Yadav,GHAZIPUR,IND,3,Post Graduate,"Rs 18,09,00,500  ~ 18 Crore+",Rs 0  ~
6825,Satyendra Baitha,GOPALGANJ (SC),IND,0,10th Pass,,
6826,Satyendra Kumar Jain,KOTA,IND,0,Post Graduate,"Rs 3,70,24,809  ~ 3 Crore+","Rs 6,43,881  ~ 6 Lacs+"
6827,Satyendra Kumar Maurya,CHANDAULI,BSP,0,12th Pass,"Rs 7,24,59,045  ~ 7 Crore+","Rs 69,27,670  ~ 69 Lacs+"
6828,Satyendra Kushwaha,SIWAN,IND,0,Graduate,,
6829,Satyendra Singh Sisodiya,VIDISHA,IND,1,12th Pass,"Rs 35,40,000  ~ 35 Lacs+",Rs 0  ~
6830,Satyendra Yadav,PURNIA,IND,0,12th Pass,"Rs 48,31,908  ~ 48 Lacs+",Rs 0  ~
6831,Satyvant Pratap Singh,SANT KABIR NAGAR,IND,2,12th Pass,,
6832,Saudager,GHOSI,IND,0,5th Pass,"Rs 15,22,000  ~ 15 Lacs+","Rs 13,000  ~ 13 Thou+"
6833,Saurabh,GONDA,BSP,0,Post Graduate,"Rs 28,69,312  ~ 28 Lacs+",Rs 0  ~
6834,Saurav Mudi,BIRBHUM,IND,0,12th Pass,,
6835,Saurav Vishnu,JAMSHEDPUR,IND,0,Post Graduate,"Rs 19,91,09,090  ~ 19 Crore+","Rs 43,00,000  ~ 43 Lacs+"
6836,Savita Bhimrao Kadale,BARAMATI,Hindustan Janta Party,0,Literate,"Rs 70,40,000  ~ 70 Lacs+","Rs 2,00,000  ~ 2 Lacs+"
6837,Savita Shailendra Banjare,DURG,Shakti Sena (Bharat Desh),0,12th Pass,,
6838,Savita Shailendra Banjare,RAIPUR,Shakti Sena (Bharat Desh),0,12th Pass,"Rs 11,29,57,000  ~ 11 Crore+","Rs 20,00,000  ~ 20 Lacs+"
6839,Savitri Devi,MISRIKH (SC),Rashtriya Janshakti Samaj Party,0,12th Pass,"Rs 82,731  ~ 82 Thou+",Rs 0  ~
6840,Savitri Devi,KHUNTI (ST),BSP,0,12th Pass,,
6841,Savitri Thakur,DHAR (ST),BJP,0,12th Pass,"Rs 5,31,07,546  ~ 5 Crore+","Rs 69,63,601  ~ 69 Lacs+"
6842,Sawale Dattatray Sitaram,THANE,IND,0,8th Pass,"Rs 20,000  ~ 20 Thou+",Rs 0  ~
6843,Sawami Agnivesh,KARNAL,IND,0,5th Pass,,
6844,Sawant Rahul Shashikant,MADHA,IND,2,10th Pass,"Rs 91,19,000  ~ 91 Lacs+",Rs 0  ~
6845,Sawatantar Singh Chauhan,FARIDABAD,Jan Shakti Dal,0,Post Graduate,"Rs 1,56,24,748  ~ 1 Crore+","Rs 3,35,363  ~ 3 Lacs+"
6846,Sayaji Ganpat Waghmare,SATARA,Bahujan Republican Socialist Party,0,Graduate Professional,,
6847,Sayan Banerjee,TAMLUK,CPI(M),0,Graduate Professional,"Rs 1,43,37,127  ~ 1 Crore+","Rs 6,66,785  ~ 6 Lacs+"
6848,Sayani Ghosh,JADAVPUR,AITC,1,12th Pass,"Rs 91,89,462  ~ 91 Lacs+","Rs 59,85,716  ~ 59 Lacs+"
6849,Sayed Irshad,RAIPUR,IND,0,10th Pass,,
6850,Sayed Irshad Ali Sayyed Layakh Ali,PARBHANI,Social Democratic Party Of India,0,8th Pass,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~
6851,Sayed Zulfiqar Alam,MUMBAI NORTH,Bahujan Maha Party,1,5th Pass,"Rs 22,60,000  ~ 22 Lacs+",Rs 0  ~
6852,Sayim Mustafa,SRINAGAR,IND,0,Post Graduate,,
6853,Sayyd Abdul Sattar Ajij,PARBHANI,IND,0,5th Pass,"Rs 2,50,000  ~ 2 Lacs+",Rs 0  ~
6854,Sebastion Hembrom,RAJMAHAL (ST),IND,0,Others,"Rs 1,64,53,613  ~ 1 Crore+",Rs 0  ~
6855,Seema,BHIWANI-MAHENDRAGARH,IND,0,Graduate,,
6856,Seema Rizvi,CHANDNI CHOWK,Azad Samaj Party,1,8th Pass,"Rs 77,000  ~ 77 Thou+",Rs 0  ~
6857,Seema Sharma,VIDISHA,Sapaks Party,0,Post Graduate,"Rs 31,34,700  ~ 31 Lacs+",Rs 0  ~
6858,Seema Sunil Potdar,SATARA,IND,0,8th Pass,,
6859,Sefali Dey,BARASAT,Bharatiya Nyay-Adhikar Raksha Party,0,5th Pass,"Rs 13,59,000  ~ 13 Lacs+",Rs 0  ~
6860,Seikh Sakirul Islam,HOWRAH,IND,2,10th Pass,"Rs 84,01,000  ~ 84 Lacs+","Rs 18,50,000  ~ 18 Lacs+"
6861,Sekar A,SIVAGANGA,IND,1,10th Pass,,
6862,Sekar P,CHENNAI SOUTH,Thakkam Katchi,0,Graduate Professional,"Rs 68,11,164  ~ 68 Lacs+","Rs 4,11,140  ~ 4 Lacs+"
6863,Sekar S,VIRUDHUNAGAR,Hindu Samaj Party,0,8th Pass,"Rs 4,20,000  ~ 4 Lacs+",Rs 0  ~
6864,Sekha Sadika Hosen,KENDRAPARA,BSP,0,Graduate,,
6865,Selja,SIRSA (SC),INC,0,Post Graduate,"Rs 42,06,55,803  ~ 42 Crore+",Rs 0  ~
6866,Selva Kumar S,TIRUNELVELI,Bahujan Dravida Party,0,Graduate Professional,"Rs 50,000  ~ 50 Thou+",Rs 0  ~
6867,Selvaganapathi T M,SALEM,DMK,1,Post Graduate,,
6868,Selvakumar M,VIRUDHUNAGAR,IND,0,5th Pass,"Rs 50,347  ~ 50 Thou+",Rs 0  ~
6869,Selvam. G,KANCHEEPURAM (SC),DMK,0,Post Graduate,"Rs 2,36,15,126  ~ 2 Crore+","Rs 31,12,213  ~ 31 Lacs+"
6870,Selvam. T,KANCHEEPURAM (SC),IND,0,5th Pass,,
6871,Selvamuthukumar M,THOOTHUKKUDI,IND,0,10th Pass,"Rs 4,572  ~ 4 Thou+",Rs 0  ~
6872,Selvan N,NILGIRIS (SC),IND,0,Graduate Professional,"Rs 6,51,446  ~ 6 Lacs+",Rs 0  ~
6873,Selvaraj K R,NAMAKKAL,IND,0,10th Pass,,
6874,Selvaraj P,SIVAGANGA,IND,0,10th Pass,"Rs 4,81,000  ~ 4 Lacs+","Rs 2,00,000  ~ 2 Lacs+"
6875,Selvaraj V,NAGAPATTINAM (SC),CPI,1,Post Graduate,"Rs 1,10,62,368  ~ 1 Crore+","Rs 28,53,957  ~ 28 Lacs+"
6876,Selvarajan V V,VIRUDHUNAGAR,IND,0,Others,,
6877,Selvi K,VIRUDHUNAGAR,IND,0,Post Graduate,"Rs 8,05,472  ~ 8 Lacs+",Rs 0  ~
6878,Senthil Kumar N,THANJAVUR,IND,1,12th Pass,"Rs 79,31,533  ~ 79 Lacs+","Rs 22,75,000  ~ 22 Lacs+"
6879,Senthil Kumar S,THOOTHUKKUDI,IND,0,10th Pass,,
6880,"Senthil Kumar, D.",ARANI,IND,0,Others,"Rs 1,41,500  ~ 1 Lacs+",Rs 0  ~
6881,Senthilkumar,CHENNAI CENTRAL,Chennai Youth Party,0,Graduate Professional,"Rs 50,000  ~ 50 Thou+",Rs 0  ~
6882,Senthilnathan. V.V,KARUR,BJP,5,Graduate,,
6883,Serubai Vasanth Kumar,CHEVELLA,Rashtra Samanya Praja Party,0,Post Graduate,"Rs 81,36,000  ~ 81 Lacs+","Rs 6,07,141  ~ 6 Lacs+"
6884,Sethupathi G,THENI,IND,0,Graduate Professional,"Rs 2,13,008  ~ 2 Lacs+","Rs 6,68,497  ~ 6 Lacs+"
6885,Seval Kannan B Advocate,TIRUNELVELI,IND,1,Graduate Professional,,
6886,Sewa Singh,KURUKSHETRA,IND,0,10th Pass,"Rs 3,85,85,035  ~ 3 Crore+","Rs 23,05,486  ~ 23 Lacs+"
6887,Sewakbhau Nirdhan Waghaye,BHANDARA GONDIYA,IND,0,Post Graduate,"Rs 15,78,13,517  ~ 15 Crore+","Rs 50,83,015  ~ 50 Lacs+"
6888,Sewakdas Kawduji Barke,CHANDRAPUR,Peoples Party of India (Democratic),0,12th Pass,,
6889,Shabana Khatoon,AMBEDKAR NAGAR,Peace Party,0,Literate,"Rs 74,58,000  ~ 74 Lacs+","Rs 15,00,000  ~ 15 Lacs+"
6890,Shabareesh,UDUPI CHIKMAGALUR,Karunada Sevakara Party,4,12th Pass,"Rs 1,48,19,284  ~ 1 Crore+",Rs 0  ~
6891,Shabareesh .R,CHITRADURGA (SC),Karunada Sevakara Party,4,12th Pass,,
6892,Shabbir Sajjanbhai Tamboli,PUNE,IND,0,5th Pass,"Rs 10,31,000  ~ 10 Lacs+","Rs 1,00,000  ~ 1 Lacs+"
6893,Shaber Ahmed,JAMMU,IND,0,Graduate,"Rs 21,14,500  ~ 21 Lacs+","Rs 5,81,000  ~ 5 Lacs+"
6894,Shabir Ahmad Dar,BARAMULLA,IND,0,Post Graduate,,
6895,Shabnam,SAHARANPUR,IND,1,Graduate,"Rs 16,20,000  ~ 16 Lacs+",Rs 0  ~
6896,Shabudadin,AJMER,National Future Party,1,8th Pass,"Rs 17,80,000  ~ 17 Lacs+",Rs 0  ~
6897,Shadib Hanief Khan,BARAMULLA,IND,0,8th Pass,,
6898,Shafeeqa Begum,BARAMULLA,IND,0,Illiterate,"Rs 40,70,000  ~ 40 Lacs+",Rs 0  ~
6899,Shafeeque Ahemad Md. Rafeeque,DHULE,IND,1,Graduate,"Rs 51,52,832  ~ 51 Lacs+","Rs 2,00,000  ~ 2 Lacs+"
6900,Shafi,VADAKARA,IND,0,5th Pass,,
6901,Shafi Mohammad Miya,VALMIKI NAGAR,Aazad Samaj Party (Kanshi Ram),0,8th Pass,"Rs 92,29,278  ~ 92 Lacs+","Rs 80,000  ~ 80 Thou+"
6902,Shafi Parambil,VADAKARA,INC,47,Post Graduate,"Rs 99,34,524  ~ 99 Lacs+","Rs 15,00,000  ~ 15 Lacs+"
6903,Shafi T P,VADAKARA,IND,0,10th Pass,,
6904,Shah Alam,JAUNPUR,Apna Dal (Kamerawadi),0,Graduate,"Rs 20,93,548  ~ 20 Lacs+",Rs 0  ~
6905,Shahabuzzama Bhartiya,KISHANGANJ,Rashtriya Samaj Paksha,7,Graduate Professional,"Rs 3,32,24,000  ~ 3 Crore+",Rs 0  ~
6906,Shahaji Nanai Thorat,MUMBAI NORTH - EAST,IND,0,10th Pass,,
6907,Shahbaj,SAHARANPUR,IND,0,10th Pass,"Rs 69,51,000  ~ 69 Lacs+",Rs 0  ~
6908,Shahid Alam,PATNA SAHIB,Jantantra Awaj Party,0,Graduate Professional,"Rs 85,000  ~ 85 Thou+","Rs 50,000  ~ 50 Thou+"
